keys,ru,en
gadgets.knight,Следующие 2 секунды Рыцарь будет уклоняться от атак.,"For the next 2 seconds, the Knight will dodge attacks."
gadgets.butcher,"Мясник прыгает на среднюю высоту. При приземлении отбрасывает ближайших врагов, нанося им 110 ед. урона.","The Butcher jumps to an average height. When landing, it throws away nearby enemies, dealing 110 damage to them."
gadgets.spearman,"Копьеносец делает мощный удар вблизи, сильно отбрасывая врага и нанося ему 300 ед. урона.","The Spearman makes a powerful blow close by, throwing the enemy hard and dealing 300 damage to him."
gadgets.wizard,Немедленно заряжает навык Мага на 40%.,Immediately charges the Wizard’s skill by 40%.
gadgets.archer,"Создаёт град стрел над Лучником, летящих вниз, даже сквозь препятствия. Наносит 150 ед. урона врагам и отбрасывает их.","Creates a hail of arrows over the Archer, flying down, even through obstacles. Deals 150 damage to enemies and knocks back them."
sp.knight,Даёт шанс в 20% уклониться от атаки.,Gives you a 20% chance to dodge an attack.
sp.butcher,Даёт шанс в 20% зарядить навык на 15% при получении урона.,Gives a 20% chance to charge the skill by 15% when taking damage.
sp.spearman,Даёт шанс в 20% оглушить врага атакой вблизи на 1.25 секунды.,Gives a 20% chance to stun an enemy with a close-range attack for 1.25 seconds.
sp.wizard,Даёт шанс в 15% исцелиться на 10% при попадании по врагу дальнобойной атакой.,Gives a 15% chance to heal by 10% when hitting an enemy with a long-range attack.
sp.archer,Даёт шанс в 45% при попадании ближней атакой нанести 50 ед. урона всем врагам в радиусе 2 блоков.,Gives a 45% chance of dealing 50 damage to all enemies within a radius of 2 blocks when hitting an enemy by a melee attack.
menu.setting.fps,Показывать FPS:,Show FPS:
menu.setting.ping,Показывать пинг:,Show ping:
menu.ping,Пинг: %d мс,Ping: %d ms
menu.disconnected,Разорвано соединение с сервером!,Disconnected from the server!
menu.players_left,Все игроки отключились!,All players have disconnected!
lobby.disconnect,Отключиться,Disconnect
lobby.connect_to,Присоединиться к комнате с уровнем ,Connect to room with level 
lobby.bad_ip,Неверный IP-адрес!,Incorrect IP address!
lobby.refuse.busy,Невозможно подключиться к комнате — игра уже началась!,Can’t connect to room — game already started!
lobby.refuse.level,Уровень комнаты (%s) не совпадает с твоиим уровнем!,Room level (%s) doesn’t match with yours!
lobby.refuse.version,Версия игры комнаты (%s) не совпадает с твоей версией: %s!,Game version of room (%s) doesn’t match with your version: %s!
lobby.info.power,", Сила: ",", Power: "
lobby.info.ulti,",  Навык: ",", Skill: "
lobby.info.you,(Вы),(You)
lobby.strange_ip," (возможно, нет подключения)"," (maybe, there is no connection)"
lobby.your_ip,Ваш IP: ,Your IP: 
lobby.start_warn,Начать игру может только сервер.,Only server can start the game.
lobby.start,Начать игру,Start game
lobby.level,Уровень: ,Level: 
lobby.your_ips,Твои локальные IP-адреса,Your local IP addresses:
lobby.error,Ошибка!,Error!
lobby.no_server,Не удалось найти сервер.,Can’t find a server.
lobby.trying,Пробую IP: ,Trying IP: 
minigame.buy.text,"Ты действительно хочешь купить мини-игру «%s» за %d монет?
У тебя %d монет.","Are you really want to buy «%s» mini-game with %d coins?
You have %d coins."
menu.have,Есть,You have
promocodes.used,Этот промокод уже использован!,This promocode is already used!
promocodes.wrong,Введён неверный промокод!,This promocode is invalid!
promocodes.fetch,Загрузка онлайн-промокодов…,Loading online promocodes…
promocodes.fetch.error,Ошибка загрузки!,Error while loading!
promocodes.fetch.check,Поиск промокода в файле…,Checking promocode in file…
promocodes.fetch.bad,Ошибка чтения файла!,Error while reading!
promocodes.fetch.no,Промокод не найден!,Promocode not found!
story.0,После событий Alpha Platformer Adventure…,After the events of Alpha Platformer Adventure…
story.1,"Когда дракону уже нужно было начинать сражение, он понимал, что шанс поражения велик. Он передал все свои знания и часть своей силы трём людям.","When the dragon had to start the battle, he understood that the chance of defeat was great. He given all his knowledge and part of his power to three people."
story.2,"После поражения дракона и уничтожения метеорита, последователи стали собирать осколки небесного камня, надеясь его восстановить.","After defeat of the dragon and destroy of the meteorite, the followers began to collect its fragments, hoping to restore it."
story.3,"Надеялись они не зря, ведь вскоре метеорит был воссоздан…","They hoped not in vain, because soon the meteorite was recreated…"
story.4,И запущен…,And launched…
story.5,Опять его надо уничтожать.,"Again, it must be destroyed."
story.skip,Пропустить,Skip
class.power,Сила: ,Power: 
class.skill,", Навык: ", Skill: 
level_dialog.level,Уровень ,Level 
level_dialog.level.win,Уровень %s пройден!,Level %s completed!
shop.you_have,У тебя: ,You have: 
shop.bought,Куплено,Bought
shop.confirm.text,Действительно хочешь купить эти предметы:,Are you really want to buy these items:
shop.confirm.with, за, with
shop.box_info.tokens, и Жетоны, and Tokens
shop.box_info,"Ящик может содержать классы, монеты, жетоны и многое другое.
Шансы при открытии одного обычного ящика:
Монеты{cs}: {cc}%
Класс: {hc}%
Фрагмент амулета: {ac}%
Душевный навык: {gc}%
Душевная сила: {sc}%
Билеты (как бонус): 25%
Кристаллы (как бонус): 10%

Получить душевный навык можно только на класс, достигший 15-го уровня силы, а душевную силу на класс, достигший 20-го уровня силы. Получать фрагменты амулетов можно после того, как один из классов достигнет 10-го уровня силы. После каждого открытого обычного ящика, в котором не было класса, шанс на него повышается на 0.06%. А если в ящике оказался класс, шанс падает до 1.5%. Начальный шанс - 2%. Если жетоны какого-то типа все классы не могут получить, то они конвертируются в монеты. 3 монеты за каждый жетон силы, 10 монет за каждый жетон навыка.","Box can contain classes, coins, tokens and much more.
Chances when opening one regular box:
Coins{cs}: {cc}%
Class: {hc}%
Amulet fragment: {ac}%
Soul skill: {gc}%
Soul power: {sc}%
Tickets (as bonus): 25%
Gems (as bonus): 10%

You can only get soul skill for a class that has reached the 15th power level, and soul power for a class that has reached the 20th power level. You can receive fragments of amulets after one of the classes reaches the 10th power level. After each open regular box, in which there was no class, the chance of it increases by 0.06%. And if there is a class in the box, the chance drops to 1.5%. The initial chance is 2%. If all classes cannot receive tokens of some type, then they are converted into coins. 3 coins for each power token, 10 coins for each skill token."
shop.box_info.title,Информация о ящике,Box information
shop.box_info.gold,"Открытие золотого ящика равно открытию 3 ящиков, однако жетоны распределяются между меньшим количеством классов.","Opening a gold box is equal to opening 3 boxes, but tokens are distributed among fewer classes."
shop.box_info.diamond,"Открытие алмазного ящика равно открытию 10 ящиков, однако жетоны распределяются между меньшим количеством классов.","Opening a diamond box is equal to opening 10 boxes, but tokens are distributed among fewer classes."
shop.buy,Купить,Buy
shop.offer.title,АКЦИЯ,OFFER
shop.offer.free,БЕСПЛАТНО,FREE
shop.offer.gift,ПОДАРОК!,GIFT!
shop.offer.kit,НАБОР КЛАССА,CLASS KIT
shop.offer.tokens,ЖЕТОНЫ,TOKENS
shop.offer.item,ПРЕДМЕТ,ITEM
shop.offer.sale,СКИДКА В %d%%,%d%% SALE
shop.offer.more,БОЛЬШЕ НА %d%%,%d%% MORE
item.coins,МОНЕТЫ,COINS
item.gems,КРИСТАЛЛЫ,GEMS
item.tickets,БИЛЕТЫ,TICKETS
item.frags,ФРАГМЕНТЫ АМУЛЕТА,AMULET FRAGMENTS
item.frag,ФРАГМЕНТ АМУЛЕТА,AMULET FRAGMENT
item.gadget,ДУШЕВНЫЙ НАВЫК,SOUL SKILL
item.gadget.l,Душевный навык,Soul Skill
item.sp,ДУШЕВНАЯ СИЛА,SOUL POWER
item.sp.l,Душевная сила,Soul Power
item.tokens,ЖЕТОНЫ СИЛЫ,POWER TOKENS
item.utokens,ЖЕТОНЫ НАВЫКА,SKILL TOKENS
item.wtokens,ЖЕТОНЫ СИЛЫ ДЛЯ ЛЮБОГО КЛАССА,POWER TOKENS FOR ANY CLASS
item.wutokens,ЖЕТОНЫ НАВЫКА ДЛЯ ЛЮБОГО КЛАССА,SKILL TOKENS FOR ANY CLASS
item.class,КЛАСС,CLASS
item.potion1,МАЛЕНЬКОЕ ЗЕЛЬЕ,SMALL POTION
item.potion2,СРЕДНЕЕ ЗЕЛЬЕ,MEDIUM POTION
item.potion3,БОЛЬШОЕ ЗЕЛЬЕ,BIG POTION
item.box,ЯЩИК,BOX
item.box.big,ЗОЛОТОЙ ЯЩИК,GOLD BOX
item.box.mega,АЛМАЗНЫЙ ЯЩИК,DIAMOND BOX
box.remains.bonus,ОСТАЛОСЬ БОНУСОВ:,BONUSES REMAINING:
box.remains,ОСТАЛОСЬ ПРЕДМЕТОВ:,ITEMS REMAINING:
box.class_num,-й из 5 классов,/5 classes
menu.multiplayer.warn,"Мультиплеер не доступен в веб-версии. Установи игру на телефон, чтобы сыграть в него!",Multiplayer is not available in web version. Install game on phone to play!
menu.max,МАКС.,MAX
menu.maximum,МАКСИМУМ,MAXIMUM
menu.level_up,Улучшить,Level up
menu.sell,Прод.,Sell
class.amulets,Амулеты класса ,Amulets of class 
amulet.craft,Создать,Craft
menu.select,Выбрать,Select
menu.selected,Выбран,Selected
class.statistics,ПОКАЗАТЕЛИ,STATISTICS
sec, с, s
class.upgrade.power,УЛУЧШИТЬ ДО %s-Й СИЛЫ?,UPGRADE TO %s POWER LEVEL?
class.stat.level,Уровень,Level
class.stat.speed,Скорость,Speed
class.stat.reload,Перезарядка,Reload
class.stat.mreload,Перезарядка(бл.),Reload(melee)
class.stat.health,Здоровье,Health
class.stat.defense,Защита,Defense
class.stat.damage,Урон,Damage
class.stat.dmgperhit,Урон за удар,Damage per hit
class.stat.hits,Кол-во ударов,Hit count
class.stat.duration,Длительность,Duration
class.stat.heals,Лечение,Heals
class.stat.mdamage,Урон(бл.),Dmg(melee)
class.upgrade.skill,УЛУЧШИТЬ ДО %s-ГО НАВЫКА?,UPGRADE TO %s SKILL LEVEL?
class.stat.skill,Навык,Skill
class.select,Класс: ,Class: 
box.youget,ПОЛУЧЕНО:,YOU GOT:
box.tocoins,В МОНЕТЫ,TO COINS
box.selectclass,"Выбери класс, который их получит","Select class, which will get them"
box.canupgrade,Доступно улучшение!,Upgrade available!
box.newclass,НОВЫЙ КЛАСС!,NEW CLASS!
class.knight.boxdesc,"Атакуя мечом, наносит средний урон. Его особый навык — нанесение случайного урона случайным целям!","Attacking with sword, deals average damage. His special skill is dealing random damage to random targets!"
class.butcher.boxdesc,"Мясник с долгим размахом атакует топором, нанося высокий урон. Его особый навык — нанесение огромного урона одному врагу!","Butcher attacks with axe with long swing, dealing high damage. His special skill is dealing huge damage to one enemy!"
class.spearman.boxdesc,"Он колет вблизи также больно, как при метании. Его особый навык — нанесение оглушительного удара врагу!",It stabs near as painful as when throwing. His special skill is striking a deafening blow to the enemy!
class.wizard.boxdesc,"Маг специализируется на дальних дистанциях, атакуя магическими сферами. Его особый навык — исцеление себя и всех союзников поблизости!",Wizard specializes in long-range attacks with magic spheres. His special skill is healing himself and all allies nearby!
class.archer.boxdesc,Урон выпущенной стрелы зависит от времени натягивания лука. Особый навык Лучника — нанесение урона всем врагам поблизости!,The damage of the released arrow depends on the time of pulling the bow. Archer's special skill is dealing damage to all enemies nearby!
menu.info,Информация,Information
shop.watch_ad,РЕКЛАМА,WATCH AD
level_dialog.class,Класс:,Class:
level_dialog.rewards,НАГРАДЫ:,REWARDS:
level_dialog.multiplayer.create,Создать комнату…,Create room…
level_dialog.multiplayer.join,Присоединиться…,Join to room…
lobby.title,Мультиплеер,Multiplayer
lobby.players,Игроки:,Players:
lobby.ips,Все IP…,All IPs…
lobby.connect.ip,Подключиться по IP,Join with IP
lobby.enter_ip,Введите IP сервера…,Enter server’s IP…
lobby.connect.tip,IP можно найти на экране сервера.,You can find IP on server’s screen.
lobby.connect.auto,Подключиться автоматически,Join automatically
lobby.connect.auto.info,Выполняет сканирование всех IP в локальной сети в поиске комнаты. Может не сработать.,Scans all IPs in local network. May not work.
multiplayer.guide,Справка по мультиплееру,Multiplayer guide
multiplayer.select_level,Выбери уровень из списка или введи его номер.,Select level from list or enter its number.
multiplayer.loc,Локация:,Location:
multiplayer.lvl,Уровень:,Level:
win.congrats,Поздравляем!,Congratulations!
win.reward,Твоя награда:,Your reward:
win.claim,Забрать,Claim
win.next,Далее,Next
win.restart,Заново,Retry
win.menu,Меню,Menu
loading.loading,Загрузка…,Loading…
loading.error,Не могу загрузить сцену: %s!,Can’t load scene: %s!
noads.title,РЕКЛАМА УДАЛЕНА!,ADS REMOVED!
noads.ok,УРА!,OK!
promocodes.title,Ввести промокод:,Enter promocode:
promocodes.placeholder,Код…,Code…
promocodes.confirm,Подтвердить,Confirm
controls.reset,Сбросить,Reset
controls.title,Настройка управления,Editing controls…
controls.guide,"Настрой управление под себя, перетаскивая кнопки!",Customize the controls for yourself by dragging buttons!
gameover.title,ИГРА ОКОНЧЕНА,GAME OVER
gameover.retry,Попробовать снова,Try again
gameover.menu,Выйти в меню,Back to menu
minigame.s,Мини-игры,Mini-games
minigame.select,Выбери мини-игру,Select mini-game
menu.edu.again,Ты действительно хочешь посмотреть историю и пройти обучение заново?,Are you really want to see story and complete tutorial again?
menu.edu,Обучение,Tutorial
