keys,ru,en
level.10_6,Уровень 10-6,Level 10-6
level.10_7,Уровень 10-7,Level 10-7
level.10_8,Уровень 10-8,Level 10-8
level.10_9,Уровень 10-9,Level 10-9
level.10_10,Уровень 10-10,Level 10-10
player.pause,Меню паузы,Pause menu
player.pause.continue,Продолжить,Continue
player.pause.restart,Заново,Restart
player.pause.quit,Выйти,Quit
player.revive,Возродиться?,Revive me!
player.revive.text,Не сдавайся! Пополни здоровье и вернись в битву!,Don’t give up! Restore your health and return to battle!
player.revive.yes,Возродиться (10),Revive (10)
player.revive.no,Сдаться,Give up
player.revived,Возрождение!,Revived!
player.defeated,Поражение!,Defeated!
player.revive.multiplayer,ВОСКРЕСИ МЕНЯ!,REVIVE ME!
door.go,Перейти,Enter
npc.talk,Говорить,Talk
hate.up,Твоя ненависть увеличилась!,Your hate has increased!
hate.down,Ненависть очищена!,Hate cleared!
hate.refuse.0,Нет!,No!
hate.refuse.1,"Я сам знаю, что делать!",I know what to do!
hate.refuse.2,Неа.,Nope.
hate.revive.0,Не сегодня!,Not today!
hate.revive.1,НЕ СЕГОДНЯ!!!,NOT TODAY!!!
1_1.dude,Чувак…,Dude…
1_1.goright,Ты куда идёшь? Иди вправо!,Where are you going? Go right!
1_1.hello,Привет! Двигайся с помощью стрелок в левом нижнем углу!,Hello! Move with the arrows in the lower left corner!
1_1.hello.pc,Привет! Используй %s и %s для движения.,Hello! Use %s and %s to move.
1_1.jump,Теперь прыгни с помощью стрелки в правом нижнем углу!,Now jump with the arrow in the lower right corner!
1_1.jump.pc,%s — для прыжка.,Use %s to jump.
1_1.fight,Молодец! Пришла пора драться!,Well done! It’s time to fight!
1_1.butt,Используй кнопку в виде ножа для атаки! Будь осторожен!,Use the knife-shaped button to attack! Be careful!
1_1.butt.pc,"%s — для атаки. Открой настройки, если хочешь поменять управление.",Use %s for attack. Open settings if you want to change controls.
1_1.shroomtip,"Этот гриб ударит тебя, если его коснуться. Бей его на расстоянии.",This mushroom will hurt you if you touch it. Hit him from a distance.
1_1.anotherone,Так держать! Дальше ещё один враг!,Keep it up! There is another enemy!
1_1.mantip,Этот враг бьёт тебя ножом в зоне его атаки раз в несколько секунд.,This enemy stabs you in his attack zone every few seconds.
1_1.mantip2,"Спровоцируй его атаковать, подойдя к нему, и сразу отбеги!","Provoke him to attack by approaching him, and immediately run away!"
1_1.mantip3,И в перерыве между его атаками ты можешь безопасно его бить!,"And in between his attacks, you can safely beat him!"
1_1.dummies,Впереди манекены! Уничтожь их!,There are dummies ahead! Destroy them!
1_1.end,Ты молодчина! Коснись звезды для завершения уровня! Приятной игры!,Good job! Touch the star to complete the level! Have a nice game!
1_1.heal,"Мало здоровья? Ничего не делай, оно само восстановится до 75 процентов!","Not enough health? Don’t do anything, it will recover to 75 percents by itself!"
1_3.stones,Впереди немного камней,There are some rocks ahead
1_6.vera,ПРЫЖОК ВЕРЫ XD,Jump of Hope!
1_6.notfool,Я был% не глуп% в школе…,I wasn’t the stupidest in school…
1_6.geo,Я в этом году попал% на городской этап олимпиады по географии…,This year I got to the city stage of the Geography Olympiad…
1_7.projectiles,Ты можешь уничтожать снаряды врагов ближней атакой! (не все),You can destroy enemy projectiles with a melee attack! (not all)
1_8.yourend,"Дальше тебе капец!
 - Пастух >:-)","You will die!
 - Shepherd >:-)"
1_8.move,Какой-то из этих камней можно двигать.,Some of these stones can be moved.
1_8.physics,А в прошлом году — по физике!..,And last year in Physics!..
1_10.locs,"Лес ->
<- Поле","Forest ->
<- Field"
1_10.boss.0,"Пастух: Как я вижу, ты сумел% дойти. Я удивлён.","Shepherd: As I see, you are here. I’m surprised."
1_10.boss.1,"Пастух: Я не думал, что ты выживешь.",Shepherd: I didn’t think you’d survive.
1_10.boss.2,"Пастух: Ну и ладно, я разберусь с тобой сам.","Shepherd: Well, okay, I'll deal with you myself."
1_10.boss.start,"Пастух: Покажи, на что ты способен%!",Shepherd: Show what you are capable of!
2_1.pants,"Обтягивающие штаны — фигня, ненавижу!",Tight pants are strange!
2_2.or,Не люблю же я визг женщин!..,I don't like the screeching of women!..
2_3.flame,Костёр? Горящий?..,A bonfire? Burning?..
2_4.tip,"Прыгай туда, где нет дыма…",Jump where there is no smoke…
2_4.jumptip,"Чем ты быстрее, тем легче прыжок. Проверь скорость класса.","The faster you are, the easier the jump. Check the class speed."
2_5.women,Женщины вообще странные…,Women are generally strange…
2_5.graveyard,КЛАДБИЩЕ,GRAVEYARD
2_5.kmom,"МАМА К******
:))))))))","K*****’S MOM
:)))))"
2_5.you,"?/т.-=,.||.,=ы-+#","?/y.-=,.||.,o=-+u#"
2_6.portal,"Это что, портал? Откуда?",Is this a portal? From where?
2_6.how,Как они работают?,How do they work?
2_9.shlyuhi,"Есть слухи, что в местных школах восьмиклассницы - пр*ст*тутки…",I've heard that eighth graders are h*rlots in local schools…
2_10.boss.start,"Лесоруб: Ну что, сразимся???","Lumberjack: Well, shall we fight???"
2_10.boss.0,Лесоруб: Здесь ты значит…,Lumberjack: You are here…
3_2.client,И их главный клиент - физрук…,And their main client is PE teacher…
3_3.trimaga,Эти три мага сильны... Они используют её…,These three followers are strong... They use it…
3_5.monsters,Тёмная энергия... Похоже из неё состоят монстры.,Dark energy... It looks like monsters are made of it.
3_5.why,"Иначе не объяснишь, почему их так много…","Otherwise, you can't explain why there are so many of them…"
3_8.2dshooterref,Люблю шутеры…,I love shooters…
3_9.feeling,"Чем дальше я от дома, тем сильнее чувствуется что-то плохое…","The further away I am from home, the more something bad feels…"
3_10.boss.1,"Чёрный маг: Очень хорошо, что он передал свои святые знания его последователям…",Black Wizard: It's very good that he passed on his holy knowledge to his followers…
3_10.boss.0,Чёрный маг: Дракон был отличной личностью…,Black Wizard: Dragon was a great personality…
3_10.boss.start,Чёрный маг: Не согласен%???,Black Wizard: Don't you agree???
4_1.smaller,Осторожно! Пещера сужается!,Caution! The cave is narrowing!
4_3.remains,"До портала в красный мир осталось 3,5 км",The portal to the red world is 3.5 km away.
4_4.hot,А здесь жарко…,And it's hot here…
4_4.burn,ТЫ ОБЯЗАТЕЛЬНО СГОРИШЬ!!!,YOU WILL DEFINITELY BURN!!!
4_5.remains,"До портала в красный мир осталось 2,5 км",The portal to the red world is 2.5 km away.
4_5.portal,Я на правильном пути... Мне нужен портал.,I'm on the right way… I need a portal.
4_7.remains,"До портала осталось 1,5 км",The portal is 1.5 km away
4_9.remains,До портала осталось XX.XX км!!!!!!!,The portal is XX.XX km away!!!!!!!
4_9.almost,Ещё чуть-чуть…,Almost there…
4_9.what,А это как?,How?
4_10.portal,"^ ПОРТАЛ ^
| КР. МИР |","^ PORTAL ^
|R. WORLD|"
4_10.boss.0,"Великий рыцарь: Слышал, к порталу идёт недавний ""герой"".","Great Knight: I heard a recent ""hero"" is coming to the portal."
4_10.boss.1,"Великий рыцарь: Хотя, он% неплох%, но к порталу никого не пропущу!","Great Knight: Although he's not bad, but he won't get the portal!"
4_10.boss.2,Великий рыцарь: Так то он% просто хочет более короткий путь.,Great Knight: So he just wants a shorter way.
4_10.boss.3,Великий рыцарь: Но через меня этот путь…,Great Knight: But through me his way…
4_10.boss.start,Великий рыцарь: ПРИВЕДЁТ К СМЕРТИ!!!,Great Knight: WILL LEAD TO DEATH!!!
5_3.love,Мне нравится эта скорость…,I like this speed…
5_5.beach,Пляж 100 м,Beach 100 m
5_7.ore,"Интересно, что это за руда?",I wonder what kind of ore it is?
5_9.next,Что же ждёт меня дальше?..,What awaits me next?..
5_9.lore,"""Это заклинание сделает твою душу одержимой, но ты получишь таинственные силы…""","""This spell will make your soul possessed, but you will receive mysterious powers…"""
5_10.boss.0,Хирург: Докторов всё меньше и меньше... Кто ж мне помогать будет?,Surgeon: There are fewer and fewer doctors... Who will help me?
5_10.boss.1,Хирург: Секунду... Там кто-то идёт... Неужто это…,Surgeon: Wait a second... There's someone coming... Is it really…
5_10.boss.start,"Хирург: Та самая убийца!? Ну ничего, операция тебе поможет!","Surgeon: That killer!? Well, the operation will help you!"
training,Тренировка,Training
6_1.views,Какие классные виды…,What cool views…
6_2.tip,"Мне кажется, или меня попытаются столкнуть в лаву?","Is it just me, or will they try to push me into the lava?"
6_4.giant,На этой горе по легендам обитает ГИГАНТСКИЙ ГРИБ!!!,"According to legends, a GIANT MUSHROOM lives on this mountain!!!"
6_4.joke,Пасутся как-то два барана…,Two sheep graze somehow…
6_5.joke,"Один говорит: БЕЕЕЕЕЕ
Другой: 6-7дмдтмкнцэтганкдт"":;:$?*№:&№","One says: BEEEEEEE
Another: 6-7dmdtmkncetgankdt"":;:&№№:?№"
6_7.joke,"Первый: Блин, тоже самое хотел сказать.","First one: Damn, I wanted to say the same thing."
6_8.remains,До замка 1 км,The castle is 1 km away
6_8.tree,"Интересно, что это за дерево такое?",I wonder what kind of tree it is?
6_9.parts,"Обломки... замка? Понятно, куда я иду.",The wreckage… a castle? It's clear where I'm going.
6_9.castle,Замок Красного мира,Red World Castle
6_10.boss.0,Огненный страж: А вот и ты…,Fire Guard: And here you are…
6_10.boss.1,Огненный страж: Сзади меня находится замок с порталом…,Fire Guard: There is a castle with a portal behind me…
6_10.boss.2,Огненный страж: ...но ты до туда не доберёшься.,Fire Guard: ...but you won't get there.
6_10.boss.3,"Огненный страж: Почему же, спросишь ты?","Fire Guard: Why, you ask?"
6_10.boss.start,"Огненный страж: Да потому, что Я ИЗ ТЕБЯ ШАШЛЫК СДЕЛАЮ!!!",Fire Guard: Because I'LL MAKE A BARBECUE OUT OF YOU!!!
7_1.welcome,Добро пожаловать в замок!,Welcome to the castle!
7_2.garden,Дендрарий,Garden
7_3.lore,Эти классы… Что это? Почему я становлюсь сильнее?..,These classes… What are they? Why I am becoming stronger?..
7_5.storage,Склад,Storage
7_6.ores,Месторождения водных и золотых руд,Deposits of water and gold ores
7_6.whatisit,Так вот что это за руды…,So that's what these ores are…
7_9.sisyphus,Сизиф,Sisyphus
7_9.orange,"Оранжевые атаки наносят урон, если ты стоишь на месте.",Orange attacks hurt you if you’re standing still.
7_9.blue,"Голубые же атаки наносят урон, когда ты двигаешься.",Blue attacks hurt you if you’re moving.
7_9.leave,Ещё немного и я вернусь в обычный мир!,A little more and I will return to the ordinary world!
7_10.boss.0,Красный король: Ты.,Red King: You.
7_10.boss.1,"Красный король: Ты нарушил% порядок, установленный после падения второго метеорита.",Red King: You violated the order established after the fall of the second meteorite.
7_10.boss.2,Красный король: Но ты не слаб%: ты преодолел% все препятствия на своём длинном пути.,Red King: But you are strong: you have overcome all the obstacles on your long journey.
7_10.boss.3,Красный король: Это действительно достойно награды…,Red King: It's really worthy of an award…
7_10.boss.start,Красный король: ...быть убитым МНОЙ! Ах-ха-ха-ха-ха!,Red King: ...to be killed by ME! Ah-ha-ha-ha-ha!
8_1.welcome,Добро пожаловать в деревню!,Welcome to the Village!
8_1.gosha,Дом Гоши,Gosha’s house
8_1.npc.utro,Доброе... утро?,Good… morning?
8_1.npc.school,Я школу не проспал?,I didn't oversleep school?
8_1.npc.look,Я хорошо выгляжу?,Am I looking good?
8_1.npc.face,Что у тебя за гримаса на лице?..,What's that grimace on your face?..
8_2.npc.kill,О нет! В моём доме произошло убийство!,Oh no! There's been a murder in my house!
8_2.npc.killrad,"Хотя я даже рад, что его убили!..",Although I'm even glad that it was killed!..
8_2.npc.o00,Опять домашка по обществу... Как её вообще писать!?,More homework on society... How to write it at all!?
8_2.npc.o01,Хорошо оно хоть раз в неделю…,It's good to have it at least once a week…
8_2.npc.o10,"Всё в порядке, сладкий!..","It’s all right, honey!.."
8_2.npc.o11,"Стой, а ты кто?","Wait, who are you?"
8_2.npc.o12,Поможешь нам?.. UwU,Will you help us? UwU
8_2.npc.shroom,У меня дома гадкий гриб…,I have a nasty mushroom at home…
8_2.npc.care,Будь осторожен%!,Be careful!
8_3.storage,Хранилище грибов,Mushrooms storage
8_3.npc.dont,Не трогай алмазы!,Don’t touch the diamonds!
8_3.npc.bed,"Зачем нужна кровать, когда есть алмазы?",Why do you need a bed when there are diamonds?
8_3.npc.rich,Только дороговато вышло.,It just got a little expensive.
8_4.fuuuuuuck,Да ты что... БЛ*************************!!!,"Wait, NOOOOOOOOOOOO!!!"
8_4.npc.film,Я очень хочу на этот фильм.,I really want to see this movie.
8_4.npc.ads,"Но, говорят, там много рекламы…","But, they say, there is a lot of ads…"
8_4.npc.filmask,Ты пойдёшь на этот фильм?..,Will you go to this movie?..
8_4.npc.nerd,"Сэр, вообще-то, в деревне нельзя ходить с оружием.","Uhm, actually, you can't carry a weapon in the village."
8_4.npc.nerdleave,Прошу немедленно покинуть мой дом.,Please leave my house immediately.
8_4.npc.nerdoh,"Сэр, вообще-то, ... Ой.","Uhm, actually, … Oh."
8_4.npc.nerdstop,"Сэр, немедленно прекратите бессмысленное кровопролитие!","Uhm, immediately stop the senseless bloodshed!"
8_4.npc.nerdbosses,Боссы вам не враги!,Bosses aren’t your enemies!
8_4.npc.chests,"Хорошо, что это, сундуки остались наверху…","Well, what is it, the chests were left upstairs…"
8_4.npc.cool,Класс вообще.,Very good.
8_5.npc.fizikready,Готов% к уроку по физике?,Are you ready for physics lesson?
8_5.npc.fiziklimonad,Не забудь взять лимонад!,Don't forget to take lemonade!
8_5.npc.fizikuchi,"Что-то ты мрачен%, поучи физику!..","You're gloomy, learn physics!.."
8_5.npc.you,Что ТЫ тут делаешь?,What are YOU doing here?
8_5.npc.robot,Какой милый робот!..,What a cute robot!..
8_5.npc.whatrobot,Только что он у меня делает?..,"You're gloomy, go learn some physics!.."
8_5.npc.housefree,Хоть дом мне освободишь…,At least you'll free the house for me…
8_5.npc.housemonsters,Какие-то монстры сидят у меня дома!..,Some monsters are sitting at my house!..
8_5.npc.advise,Не советую туда идти…,I don’t advise you to go there…
8_6.storage2,Хранилище грибов 2,Mushroom storage 2
8_6.npc.kira,"Ты думал, что я Кира Йошикаге…",You thought I was Kira Yoshikage…
8_6.npc.dio,"Но это был я, Дио!","But it was me, Dio!"
8_6.npc.shlyuha0,Ты сделал% домашнее задание на отдельном листочке по обществознанию?,Have you done your social studies homework on a separate piece of paper?
8_6.npc.shlyuha1,Объём не менее 2 страниц!!!,Size is not less than 2 pages!!!
8_6.npc.shlyuha2,Что ты вообще дома у меня делаешь???,What are you doing at my house anyway???
8_6.npc.hi,Привет.,Hi.
8_6.npc.like,Любишь скалолазание?,Do you like climbing?
8_6.npc.getout,Иди отсюда!,Get out!
8_7.npc.good,Я всё ещё держусь…,I'm still involved…
8_7.npc.letsgooo,"Вперёд, джедаи, мы победим!","Come on, Jedi, we will win!"
8_7.npc.ng,С наступающим Новым Годом!,Happy New Year!
8_7.npc.days,"Кстати, сколько до него дней осталось?","By the way, how many days are left before it?"
8_7.npc.leave,"АААААА, УЙДИ ОТСЮДА!!!","AAAAAAH, GET OUT!!!"
8_7.npc.dura,Пишу домашнее задание по обществу.,I'm writing my homework on society.
8_7.npc.superdura,Обожаю этот предмет!,I love this subject!
8_8.nonlived,Покинутые дома,Abandoned houses
8_9.npc.dont,Не... Иди... Туда!,Don't... Go... There!
8_9.npc.past,Я прошлый рабочий Завода...,I'm a former factory worker…
8_9.npc.bad,Это полный ужас…,It's a complete horror…
8_9.npc.relation,После этого всего там просто перестали относится к рабочим как к людям...,"After everything happened, there just stopped treating workers as people..."
8_9.npc.left,И все просто сбежали.,And everyone just ran away.
8_9.npc.dontgo,"Пожалуйста, не иди туда…","Please, don’t go there…"
8_10.boss.start,Егор: Но у меня нет выбора…,Egor: But I have no choice…
8_10.boss.0,"???: Смотри, как умею!",???: Look what I can do!
8_10.boss.1,???: Кхм-кхм.,???: Ahem-ahem.
8_10.boss.2,???: Я тебя поздравляю: ты преодолел% множество препятствий.,???: I congratulate you: you have overcome a lot of difficulties.
8_10.boss.3,???: Но тебя ещё многое ждёт…,???: But there is still a lot waiting for you…
8_10.boss.4,???: Последователи Дракона. Вот кто ещё будут стоять у тебя на пути.,???: Followers of the Dragon. That's who else will stand in your way.
8_10.boss.5,???: Я горжусь тобой. Ты очень хорош%.,???: I'm proud of you. You're very good.
8_10.boss.6,???: Но Дракон… Я поклялся ему в верности…,???: But the Dragon… I swore allegiance to him…
8_10.boss.7,Последователь: ...так что мне придётся это сделать.,Follower: ...So I'll have to do it.
8_10.boss.8,"Последователь: Пойми, мне не хочется этого!",Follower: I don't want to do this!
8_10.boss.death.0,Егор: Прости.,Egor: Sorry.
8_10.boss.death.1,Егор: Мне жаль.,Egor: I’m sorry.
8_10.boss.death.2,Егор: Вот и кончилось твоё приключение…,Egor: Your adventure has ended…
9_3.gold,С золотом у них тяжко…,They have problems with gold...
9_4.remont,Лавопровод на ремонте,The lava pipeline is under repair
9_5.rest,"Похоже на место, где отдыхали работники…",It looks like a place where the workers rested…
9_5.pool,Даже бассейн есть!..,There is even a swimming pool!..
9_8.lore,"Возможно, это место, где работал ALPHA 51…",Perhaps this is the place where ALPHA 51 worked.…
9_9.stone,Похоже на генератор булыжника.,Looks like stone generator.
9_9.fail,"Наверное, это его первая неудавшаяся версия.",This is probably its first failed version.
9_9.note,"Лист из дневника. На нём написано: «Пиксель — артефакт с силой,
способной превращать всё в пиксели...»","A page from the diary. It says: ""A pixel is an artifact with the power
to turn everything into pixels..."""
9_9.sisyphus,Сизиф 2,Sisyphus 2
